,,,,,,,,,,,,,,,,,
,Danielle Frankel Studios — Julia Feedback Tracker,,,,,,,.,Singular,Cobalt,Singular x Cobalt,Total,,.,Axel,Alonso,Total
,"Compiled Aug 19, 2026 — Julia's Slack feedback from today, Read AI meeting feedback from the last month, open Airtable feedback-table items, and a repo/changelog cross-check against Sprint 5. Shared with Cobalt, so statuses are plain dev-tracker terms rather than Singular/Airtable-internal labels.",,,,,,,Total,50,20,17,87,,Total,37,13,50
,,,,,,,,Done,15,7,1,23,,Done,10,6,16
,,,,,,,,Progress,0.3,0.35,0.06,0.26,,Progress,0.27,0.46,0.32
,,,,,,,,,,,,,,,,,
,Status (single select),,,,,,,,,,,,,,,,
,Open,"Reported, not yet started or not confirmed built. The default for anything without evidence of work — whichever team (Singular or Cobalt) owns it still needs to pick it up.",,,,,,,,,,,,,,,
,In Progress,"Actively being worked right now, or addressed on a rolling/ongoing basis rather than a single fix.",,,,,,,,,,,,,,,
,Blocked,"Paused pending a decision or dependency — usually a client-side call (Margo/Julia) or an external approval (e.g., a Figma mockup sign-off).",,,,,,,,,,,,,,,
,Done,"Confirmed shipped, with the changelog week or Slack message cited as evidence in Solution.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Priority (single select),,,,,,,,,,,,,,,,
,Critical,Breaks trust in the data or blocks the Sept 8 timeline; needs attention before Julia leaves Aug 22.,,,,,,,,,,,,,,,
,High,Real data-accuracy or workflow bug affecting daily operations; should be next in line.,,,,,,,,,,,,,,,
,Medium,"Real gap or feature request, not urgent this week.",,,,,,,,,,,,,,,
,Low,"Cosmetic/label change, already answered, or already Done — no pressing action needed.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Source,,,,,,,,,,,,,,,,
,,"Where the item came from: today's Slack channel, a Read AI meeting (with meeting ID), the existing Airtable feedback table, or the repo/README/changelog audit.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Sprint 5 stories referenced in Solution notes (Singular-side planning context; all still unbuilt as of Aug 19, 2026)",,,,,,,,,,,,,,,,
,• DFS-5.1 DocuSign E-Sign Integration,,,,,,,,,,,,,,,,
,• DFS-5.2 Measurement Photo Intake,,,,,,,,,,,,,,,,
,• DFS-5.3 Refund Requests & Draft Order Credits,,,,,,,,,,,,,,,,
,• DFS-5.4 Email Center & Calligraphy Auto-Entry,,,,,,,,,,,,,,,,
,• DFS-5.5 Draft Order Product Logic & Approval Gate,,,,,,,,,,,,,,,,
,• DFS-5.6 Full Custom Workflow,,,,,,,,,,,,,,,,
,• DFS-5.7 Sample Tracker – Split Size Fields,,,,,,,,,,,,,,,,
,• DFS-5.8 SA & Production Journey Arcades,,,,,,,,,,,,,,,,
,"• DFS-5.9 Recap, Customization Proposal & Legal Docs",,,,,,,,,,,,,,,,
,• DFS-5.10 Waitlist Appointment Type Routing,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
