#,Short Name,Full Description,Report Date,Owner,Priority,Status,Source,Dev,Story in Sprint 5,Source
1.0,Order Ready trigger rule finalised (gown-picked AND logic),"Order Ready triggers on AND logic: if the client has any gown item, at least one gown must be picked regardless of the other items; if there is no gown, more than 50% of items must be picked. With multiple gowns, one picked is sufficient. Replaces the earlier 75% picked threshold variable.",2026-08-21T00:00:00,Singular,2. High,In Progress,From Julia,Axel,,"Granola - DFS - Review, 2026-08-21, Julia Shao Collins; Slack - #danielle-frankel-developmen, 2026-08-11, Julia Shao Collins"
2,New Order Ready triage interface,"A new order-level Order Ready interface to be built as a triage stage between Sold and Alterations/Fulfilment. Columns: client, order number, picked %, gown status, alteration status, fulfilment type, triage action, hold date. Records appear per order, so a group-by-client view is needed for scanning. Julia to share the Claude-built prototype for Axel to build from.",2026-08-21T00:00:00,Singular,1. Critical,In Progress,From Julia,Axel,,"Granola - DFS - Review, 2026-08-21, Julia Shao Collins; story created Slack - #danielle-frankel-studios_agile, 2026-08-21"
3,Triage action column drives next step per order,"Triage action column surfaces the next action per order: shipping - confirm address; pickup - reach out to schedule pickup; alterations paid but unbooked - reach out to book first fitting; alterations unpaid - flag to get payment. Once the action is completed staff tick a box and the order moves to fulfilment. I am not sure I want it to be fully dynamic where it send emails from the order ready interface directly, i think the only thing to build now is the confirming shipping address and having a log of all addresses, acuity, shopify, confirmed address from recap form, a previously confirmed address from recap form.
No need to build email capabilities now",2026-08-21T00:00:00,Singular,2. High,Open,From Julia,Axel,,"Granola - DFS - Review, 2026-08-21, Julia Shao Collins"
4,Address confirmation pop-up and write-back to Apparel Magic,"Confirmed shipping address to be stored per order in Airtable and then written back to Apparel Magic. The pop-up offers the Shopify address, the Acuity address, previously confirmed addresses, or a new entry. Address is per order - the same client may use different addresses across orders.",2026-08-21T00:00:00,Singular x Cobalt,3. Medium,Open,From Julia,Axel,,"Granola - DFS - Review, 2026-08-21, Julia Shao Collins"
5,Date parsing bug - month/day values swapped across interfaces,Month and day values are being swapped in dates shown across the interfaces. Identified live during the Aug 21 joint call. Fix being applied one interface at a time by Axel and Alonso.,2026-08-21T00:00:00,Singular,,In Progress,Alonso,,Granola - DFS - Cobalt X Singular,
6,Object object' error in alterations lead field,"The alterations lead field renders as 'Object object' instead of the person's name. Fix in progress, committed for the same day.",2026-08-21T00:00:00,Singular,,In Progress,Granola - DFS - Cobalt X Singular,,,"Granola - DFS - Cobalt X Singular, 2026-08-21, Axel Nava"
7,Manual override needed for non-linear stage progression,"Axel rebuilt stage tracking as a checkbox/formula system so automations cannot silently revert a client to a prior stage. Julia flagged that strictly linear progression does not fit the business - clients can move backwards, e.g. from in fulfillment back into alterations if alterations are added late. Agreed to keep the checklist structure and add a manual override field for edge cases.",2026-08-21T00:00:00,Singular,,In Progress,From Julia,Axel,,"Granola - DFS - Cobalt X Singular, 2026-08-21, Julia Shao Collins and Axel Nava"
8,Full client record view on click across all interfaces,"The full client record view that opens on click currently exists only on the Pipeline page. The component already exists and Cobalt will copy it into every other interface by September 7th. All currently approved-editable fields will then be editable from any interface. Anywhere the client name is, do not lock fields based on phase.",2026-08-21T00:00:00,Cobalt,1. Critical,In Progress,Granola - DFS - Cobalt X Singular,,,"Granola - DFS - Cobalt X Singular, 2026-08-21"
9,No pickup' button on final fitting and pickup appointments,"A 'No pickup' button to be added to final fitting and pickup appointments, covering the case where the client attends but the dress still needs work.",2026-08-21T00:00:00,Singular,,Open,Granola - DFS - Cobalt X Singular,,,"Granola - DFS - Cobalt X Singular, 2026-08-21"
10,Reception must be able to mark items picked up or shipped,"The Appointments interface needs to let reception staff mark individual items as picked up or shipped during final fitting and pickup appointments.  This must be done on a product level not a client level.Julia's position: the Apparel Magic invoice indicates fulfilment, but manual checkboxes are still needed to record that the gown is physically in the bride's hands or that a 3PL has collected the box - currently that is either untracked or tracked via ad-hoc Slack messages.",2026-08-21T00:00:00,Singular,,Open,From Julia,Axel,,"Granola - DFS - Review, 2026-08-21, Julia Shao Collins; Slack - #danielle-frankel-developmen, 2026-08-21, Julia Shao Collins"
