#,Short Name,Full Description,Report Date,Owner,Priority,Status,Source,Singular Dev,Solved Date,Diagnostic,Solution,Story,Singular Story,Comments/Next Steps,,,,,,,,,,,,,,,
1.0,Fulfillment page shows wrong client/order data,"Fulfillment page displays a client marked “Sold” who isn’t in Shopify, and links to an order that isn’t hers. Flagged with 7 screenshots as a serious data-accuracy glitch needing cleanup (“this needs to be really cleaned up”).",2026-08-19,Cobalt,1. Critical,Open,Slack – #danielle-frankel-development,,,,None yet — Axel has eyes on it and is prepping a ticket for Nadiia with full context.,,,,,,,,,,,,,,,,,,
2.0,Wrong customer linked to order (Rachel Besser vs. Warron Barron),"A record surfaced under client “Rachel Besser” is actually order data for “Warron Barron,” a wholesale client — the Apparel Magic order is being pulled for the wrong customer entirely.",2026-08-19,Cobalt,1. Critical,Done,Slack – #danielle-frankel-development,,20/08/26 Nadiia,,None yet — Axel could not locate “Warron Barron” in the base; escalating to Nadiia.,,,"This one is also related to the incorrect linking of Wholesale orders and the previous client, Rachel Besser. Everything is fixed now.

However, this order 4070 doesn’t exist in Apparel Magic",,,,,,,,,,,,,,,
47.0,New Order Ready triage interface,"A new order-level Order Ready interface to be built as a triage stage between Sold and Alterations/Fulfilment. Columns: client, order number, picked %, gown status, alteration status, fulfilment type, triage action, hold date. Records appear per order, so a group-by-client view is needed for scanning. Julia to share the Claude-built prototype for Axel to build from.",2026-08-21 00:00:00,Singular,1. Critical,In Progress,,Axel,,,,Sprint 5: Order Ready Interface,Full,,,,,,,,,,,,,,,,
52.0,Full client record view on click across all interfaces,"The full client record view that opens on click currently exists only on the Pipeline page. The component already exists and Cobalt will copy it into every other interface by September 7th. All currently approved-editable fields will then be editable from any interface. Anywhere the client name is, do not lock fields based on phase.",2026-08-21 00:00:00,Cobalt,1. Critical,In Progress,Granola - DFS - Cobalt X Singular,,,,,,,,,,,,,,,,,,,,,,
71.0,Vivian Chen phantom order item,"Vivian Chen's record shows a 'Chloe Customized' item in her order with no corresponding record in Shopify or Apparel Magic, and her sales associate does not believe the Chloe was ever tried on. Her wedding date has passed and the order showed 50% picked, later showing 100% picked with a pending status and an unrecognisable AM ID. Working theory is either a cancelled customization that never synced back or a bad sync run that created the record.",2026-08-20 00:00:00,Singular x Cobalt,1. Critical,Open,From Julia,,,,,,,,,,,,,,,,,,,,,,
72.0,Recurring automation failure - LINK FAVORITE STYLES FROM ACUITY TO SAMPLES,The Airtable automation 'LINK FAVORITE STYLES FROM ACUITY TO SAMPLES' in the Danielle Frankel DTC Customers base has failed once daily at approximately 4:15 AM UTC every day from Aug 14 through Aug 22. Not raised by either dev team in any channel or meeting reviewed in this window.,2026-08-22 00:00:00,Singular,1. Critical,Done,Gmail - Airtable automation alerts,Axel,2026-08-26 00:00:00,"The automation's updateRecord node linked an appointment's Sample Log by writing the client's favorite style names directly into that link field, relying on Airtable to match those names against Sample Log's primary field. That primary field ('label') is a formula (style name + size), which a bare style name can never equal -- so the match failed on about half of all runs with 'Cannot modify a computed field.'","Rebuilt the automation as a script that matches by the actual linked style instead of its name, and links every matching sample it finds (not just the first). Ran a one-time backfill to catch every appointment the automation had silently missed since it started failing on Aug 14, without touching any appointment that already had a sample linked.",,,,,,,,,,,,,,,,,,
73.0,Automation failure - New Customization Request Notification,The Airtable automation 'New Customization Request Notification' failed twice on Aug 13 and three times on Aug 14 in the Danielle Frankel DTC Customers base. Not raised by either dev team in any channel or meeting reviewed in this window.,2026-08-14 00:00:00,Singular,1. Critical,Done,Gmail - Airtable automation alerts,Axel,,"Reviewed the automation's full Run History: only one failed run on record. The Run a script step and the shouldNotify condition both succeeded — the failure was isolated to the Send to Slack step, which Slack rejected with 'Slack account is inactive.' The Slack account connected to this automation had gone disconnected on Slack's side; this was not a bug in the automation's own logic or script.","The Slack account used by this automation had been disconnected on Slack's side. Axel reconnected it, so this class of failure shouldn't recur — no logic or code change was needed. Status: Done, reconnected.",,,,,,,,,,,,,,,,,,
81.0,Data accuracy is the gating priority over features,"Julia stated repeatedly that Airtable must be a carbon copy of its source-of-truth platforms - Apparel Magic, Shopify and Acuity - before anything else matters, and asked for every field to be pressure-tested across all sources while she is away. Both teams agreed to sequence data accuracy first and deprioritise cosmetic work and new features. Singular targeted resolving 50-60% of feedback items before Julia's departure and ran a war room to do it. Roughly 60-70% of the issues reported overnight on Aug 19 were traced to Acuity and Shopify rather than Singular's code. This is the #1 Priority, please look at fields with a fine tooth comb and make sure the functionality is there and its reflecting accurate data",2026-08-19 00:00:00,Singular x Cobalt,1. Critical,In Progress,From Julia,,,,,,,,,,,,,,,,,,,,,,
3.0,Wholesale orders should never sync into Airtable,"Julia stated there should be no wholesale orders (e.g., Warron Barron’s) feeding into Airtable at all — only direct-to-consumer orders belong there.",2026-08-19,Cobalt,2. High,Re-Open [Follow Up],Slack – #danielle-frankel-development,,20/08/26 Nadiia,,"We had agreed on and implemented to skip orders (on Shopify's side only) with the wholesale tag, and then search for the corresponding order in AM by order number. Since the wholesale channel in AM is likely synced from another service, some of those orders have numbers that overlap with Shopify order numbers, which caused the discrepancy.

We’ve now added an additional check to skip wholesale orders in AM as well, along with a stricter search by order number. We also corrected the data in Airtable and updated the order_items synchronization logic.",,,"Cobal to QA resolution implemented for the Wholesale issue.

NEXT STEP: Singular and Cobalt team agreed to implement a wholesale tag in Airtable for Wholesale customers for ease of future QA.",,,,,,,,,,,,,,,
4.0,AM order number field shows Customer PO instead,"Julia stated there should be no wholesale orders (e.g., Warron Barron’s) feeding into Airtable at all — only direct-to-consumer orders belong there.",2026-08-19,Cobalt,2. High,In Progress,Slack – #danielle-frankel-development,,,,None yet — Axel/Nadiia confirmed both numbers exist on the record (AM 71825 vs. PO 4070) but need to investigate which field is mis-mapped.,,,,,,,,,,,,,,,,,,
10.0,“Picked” status stuck on Pending for married client,A client who got married a while ago still shows gown “picked” status as Pending — another data-accuracy/sync symptom flagged alongside the Fulfillment glitches.,2026-08-19,Singular x Cobalt,2. High,Open,Slack – #danielle-frankel-development,Axel,,,None yet — folded into the same ticket being prepped for Nadiia.,,,,,,,,,,,,,,,,,,
11.0,Alteration Lead missing from Acuity sync (Zoia Kozakov),A client’s record shows no Alteration Lead in Airtable even though Acuity shows “RR” (Rosa Rodriguez). Julia asked whether edits in Airtable feed back to Acuity or vice versa.,2026-08-19,Singular x Cobalt,2. High,Done,Slack – #danielle-frankel-development,Axel,2026-08-23 00:00:00,"The Acuity data was never actually missing — both of Zoia Kozakov's alterations appointments have Rosa Rodriguez correctly set as the Alterations Lead. The gap is in `next_appointment_alterations_lead`, the lookup Pipeline uses to display it: it's filtered to only pull from a client's *next* upcoming appointment, and neither of her appointments currently matched that filter — so the field came back empty straight from Airtable, before any code ever touched it. This is not a parsing bug; the Alterations page's own lead field (`most_recent_alterations_lead`) uses a different, unfiltered-in-this-way lookup and was already showing the correct value the whole time. Fix: Pipeline now falls back to `most_recent_alterations_lead` whenever the ""next"" lookup comes up empty. Separately, to Julia's question: Airtable and Acuity sync one-way only (Acuity → Airtable) — edits made in Airtable never write back to Acuity.","Issue — Alteration Lead missing from Acuity sync (Zoia Kozakov)
Verified the Acuity data was correct all along — the gap was a lookup field whose filter only pulled from a client's next upcoming appointment, so it came up empty for anyone whose alterations appointments didn't currently match that filter. Fixed by falling back to the same lookup already used successfully elsewhere in the app when the primary one is empty. Also confirmed for Julia: edits in Airtable never sync back to Acuity — it's one-way only. Status: live in Sandbox and Production.",,,,,,,,,,,,,,,,,,
