#,Short Name,Full Description,Report Date,Owner,Priority,Status,Dev,Solved Date,Diagnostic,Solution,Source,Sprint 5 Story,Comments/Next Steps,,,,,,,,,,,,,,,
3.0,Wholesale orders should never sync into Airtable,"Julia stated there should be no wholesale orders (e.g., Warron Barron’s) feeding into Airtable at all — only direct-to-consumer orders belong there.",2026-08-19,Cobalt,2. High,Re-Open [Follow Up],,20/08/26 Nadiia,"8/25 update from Rob: ""I blieve Nadiia already fixed the Wholesale order ingesting issue but maybe didn't fix the data already in Airtable. I would need to check.""","We had agreed on and implemented to skip orders (on Shopify's side only) with the wholesale tag, and then search for the corresponding order in AM by order number. Since the wholesale channel in AM is likely synced from another service, some of those orders have numbers that overlap with Shopify order numbers, which caused the discrepancy.

We’ve now added an additional check to skip wholesale orders in AM as well, along with a stricter search by order number. We also corrected the data in Airtable and updated the order_items synchronization logic.",Slack – #danielle-frankel-development,,"We had agreed on and implemented to skip orders (on Shopify's side only) with the wholesale tag, and then search for the corresponding order in AM by order number. Since the wholesale channel in AM is likely synced from another service, some of those orders have numbers that overlap with Shopify order numbers, which caused the discrepancy.

We’ve now added an additional check to skip wholesale orders in AM as well, along with a stricter search by order number. We also corrected the data in Airtable and updated the order_items synchronization logic.",,,,,,,,,,,,,,,
1.0,Fulfillment page shows wrong client/order data,"Fulfillment page displays a client marked “Sold” who isn’t in Shopify, and links to an order that isn’t hers. Flagged with 7 screenshots as a serious data-accuracy glitch needing cleanup (“this needs to be really cleaned up”).",2026-08-19,Cobalt,1. Critical,Open,,,,None yet — Axel has eyes on it and is prepping a ticket for Nadiia with full context.,Slack – #danielle-frankel-development,,,,,,,,,,,,,,,,,
6.0,Can Avalara automate tax calculation?,"Julia asked whether Avalara (tax automation service) could be connected, given state/city tax-rate variability.",2026-07-23,Cobalt,3. Medium,Open,,,"Shopify calculates taxes automatically. We recall Julia saying earlier that anything Shopify calculates automatically should be allowed to be calculated automatically.
If the issue here is that taxes aren’t being calculated on draft orders, then it's okay because we’re currently testing this on the development store, where Avalara isn’t connected.","Per Slack Aug 19, tax still isn’t pulled automatically — “Tax not confirmed” must be set manually since it’s uncertain whether it can be pulled from Shopify. Avalara was never confirmed as integrated.",Read AI – Stand Up,,"Shopify calculates taxes automatically. We recall Julia saying earlier that anything Shopify calculates automatically should be allowed to be calculated automatically.
If the issue here is that taxes aren’t being calculated on draft orders, then it's okay because we’re currently testing this on the development store, where Avalara isn’t connected.",,,,,,,,,,,,,,,
12.0,,Pipeline: Country shouldn't be editable. Is missing synced data from legacy syncs.,,Singular x Cobalt,3. Medium,Open,,,,,,,,,,,,,,,,,,,,,,
10.0,“Picked” status stuck on Pending for married client,A client who got married a while ago still shows gown “picked” status as Pending — another data-accuracy/sync symptom flagged alongside the Fulfillment glitches.,2026-08-19,Singular x Cobalt,2. High,Open,Axel,,,None yet — folded into the same ticket being prepped for Nadiia.,Slack – #danielle-frankel-development,,,,,,,,,,,,,,,,,
31.0,3PL carrier + tracking info missing from Fulfillment page,"Julia wants the 3PL carrier (FedEx, DHL, etc.) and tracking number visible on the In Fulfillment page.",2026-08-19,Singular x Cobalt,3. Medium,Open,Alonso,,"Reviewing how carrier, and tracking data are mapped from Apparel Magic to Airtable. We identified some inconsistencies between the source data and what reaches Airtable and are validating the current field mappings with Cobalt to determine whether adjustments are needed in the sync, DFS process, or both.
",,Slack – #danielle-frankel-development,,Waiting on Cobalt,,,,,,,,,,,,,,,
4.0,AM order number field shows Customer PO instead,"Julia stated there should be no wholesale orders (e.g., Warron Barron’s) feeding into Airtable at all — only direct-to-consumer orders belong there.",2026-08-19,Cobalt,2. High,In Progress,,,,None yet — Axel/Nadiia confirmed both numbers exist on the record (AM 71825 vs. PO 4070) but need to investigate which field is mis-mapped.,Slack – #danielle-frankel-development,,,,,,,,,,,,,,,,,
5.0,Malformed client/style names in source data,"Some client or style records show unexpected name formatting (e.g., “Sarah Sloan’s,” “Adelaide Cora”); flagged as a data-hygiene issue originating in Acuity, and asked where normalization should happen.",2026-08-10,Cobalt,3. Medium,In Progress,,,"There is a product with such name in both Shopify, that's why it's synced into Airtable:
https://admin.shopify.com/store/daniellefrankel/products/4942021099658
https://admin.shopify.com/store/danielle-frankel-studio-la/products/8180377518261

For Sarah Sloan Sloan:
https://admin.shopify.com/store/daniellefrankel/customers/9542610518268
https://airtable.com/appUC2NFAlURayLx9/tblLLUlDgJ4ktzF7c/viwdtcxOPyl6em5Pe/recCquLFxLp9b78yf?blocks=hide",None yet.,Read AI – Stand Up,,"There is a product with such name in both Shopify, that's why it's synced into Airtable:
https://admin.shopify.com/store/daniellefrankel/products/4942021099658
https://admin.shopify.com/store/danielle-frankel-studio-la/products/8180377518261

For Sarah Sloan Sloan:
https://admin.shopify.com/store/daniellefrankel/customers/9542610518268
https://airtable.com/appUC2NFAlURayLx9/tblLLUlDgJ4ktzF7c/viwdtcxOPyl6em5Pe/recCquLFxLp9b78yf?blocks=hide",,,,,,,,,,,,,,,
2.0,Wrong customer linked to order (Rachel Besser vs. Warron Barron),"A record surfaced under client “Rachel Besser” is actually order data for “Warron Barron,” a wholesale client — the Apparel Magic order is being pulled for the wrong customer entirely.",2026-08-19,Cobalt,1. Critical,Done,,20/08/26 Nadiia,,None yet — Axel could not locate “Warron Barron” in the base; escalating to Nadiia.,Slack – #danielle-frankel-development,,"This one is also related to the incorrect linking of Wholesale orders and the previous client, Rachel Besser. Everything is fixed now.

However, this order 4070 doesn’t exist in Apparel Magic",,,,,,,,,,,,,,,
7.0,"Single, clearly-governed wedding-date source of truth","Julia asked for the wedding/event-date logic (Acuity vs. Apparel Magic vs. manual confirmation) to be explained clearly enough to brief her sales team, and whether Airtable should be the single source of truth.",2026-08-10 (also 2026-07-27),Cobalt,3. Medium,Done,,,,"Cobalt shipped the updated wedding-date sync logic on Aug 6 (Acuity + Apparel Magic priority rules; date only overwritten from Apparel Magic when “Wedding Date Confirmed” or “Wedding Date Source = Manual” is set — write-up shared in Slack Aug 6). Julia was still asking clarifying questions as late as Aug 13–14, so the build is Done but a comms follow-up to her/her team is still owed.",Read AI – Stand Up,,,,,,,,,,,,,,,,,
